,Artist,Album,Track,Minutes
45,Alanis Morissette,Jagged Little Pill,Mary Jane,4.67678333333
46,Alanis Morissette,Jagged Little Pill,Ironic,3.83041666667
47,Alanis Morissette,Jagged Little Pill,Not The Doctor,3.79385
48,Alanis Morissette,Jagged Little Pill,Wake Up,4.89141666667
49,Alanis Morissette,Jagged Little Pill,You Oughta Know (Alternate),8.19808333333
50,Alice In Chains,Facelift,We Die Young,2.53473333333
51,Alice In Chains,Facelift,Man In The Box,4.77735
52,Alice In Chains,Facelift,Sea Of Sorrow,5.83051666667
53,Alice In Chains,Facelift,Bleed The Freak,4.03243333333
54,Alice In Chains,Facelift,I Can't Remember,3.71591666667
55,Alice In Chains,Facelift,"Love, Hate, Love",6.45223333333
56,Alice In Chains,Facelift,It Ain't Like That,4.62628333333
57,Alice In Chains,Facelift,Sunshine,4.74948333333
58,Alice In Chains,Facelift,Put You Down,3.27051666667
59,Alice In Chains,Facelift,Confusion,5.73605
60,Alice In Chains,Facelift,I Know Somethin (Bout You),4.36591666667
61,Alice In Chains,Facelift,Real Thing,4.06465
62,Antônio Carlos Jobim,Warner 25 Anos,Desafinado,3.08896666667
63,Antônio Carlos Jobim,Warner 25 Anos,Garota De Ipanema,4.7508
64,Antônio Carlos Jobim,Warner 25 Anos,Samba De Uma Nota Só (One Note Samba),2.28788333333
65,Antônio Carlos Jobim,Warner 25 Anos,Por Causa De Você,2.83166666667
66,Antônio Carlos Jobim,Warner 25 Anos,Ligia,4.19961666667
67,Antônio Carlos Jobim,Warner 25 Anos,Fotografia,2.15378333333
68,Antônio Carlos Jobim,Warner 25 Anos,Dindi (Dindi),4.21963333333
69,Antônio Carlos Jobim,Warner 25 Anos,Se Todos Fossem Iguais A Você (Instrumental),2.24913333333
70,Antônio Carlos Jobim,Warner 25 Anos,Falando De Amor,3.66105
71,Antônio Carlos Jobim,Warner 25 Anos,Angela,2.82513333333
72,Antônio Carlos Jobim,Warner 25 Anos,Corcovado (Quiet Nights Of Quiet Stars),3.4277
73,Antônio Carlos Jobim,Warner 25 Anos,Outra Vez,2.10851666667
74,Antônio Carlos Jobim,Warner 25 Anos,O Boto (Bôto),6.11395
75,Antônio Carlos Jobim,Warner 25 Anos,"Canta, Canta Mais",4.53093333333
76,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Garota De Ipanema,4.65893333333
77,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Tim Tim Por Tim Tim,3.55395
78,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Tarde Em Itapoã,5.2284
79,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Tanto Tempo,2.8382
80,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Eu Vim Da Bahia - Live,2.63313333333
81,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Alô Alô Marciano,3.96843333333
82,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Linha Do Horizonte,4.65806666667
83,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Only A Dream In Rio,6.18926666667
84,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Abrir A Porta,4.53266666667
85,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Alice,2.76636666667
86,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Momentos Que Marcam,4.66895
87,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Um Jantar Pra Dois,3.9619
88,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Bumbo Da Mangueira,4.50263333333
89,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Mr Funk Samba,3.56483333333
90,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Santo Antonio,2.71193333333
91,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Por Você,3.42595
92,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Só Tinha De Ser Com Você,6.49403333333
93,Apocalyptica,Plays Metallica By Four Cellos,Enter Sandman,3.69501666667
94,Apocalyptica,Plays Metallica By Four Cellos,Master Of Puppets,7.27421666667
95,Apocalyptica,Plays Metallica By Four Cellos,Harvester Of Sorrow,6.24238333333
96,Apocalyptica,Plays Metallica By Four Cellos,The Unforgiven,5.38208333333
97,Apocalyptica,Plays Metallica By Four Cellos,Sad But True,4.80346666667
98,Apocalyptica,Plays Metallica By Four Cellos,Creeping Death,5.13391666667
99,Apocalyptica,Plays Metallica By Four Cellos,Wherever I May Roam,6.15575
100,Apocalyptica,Plays Metallica By Four Cellos,Welcome Home (Sanitarium),5.83661666667
101,Audioslave,Audioslave,Cochise,3.70633333333
102,Audioslave,Audioslave,Show Me How to Live,4.6315
103,Audioslave,Audioslave,Gasoline,4.65761666667
104,Audioslave,Audioslave,What You Are,4.15651666667
105,Audioslave,Audioslave,Like a Stone,4.90056666667
106,Audioslave,Audioslave,Set It Off,4.3877
107,Audioslave,Audioslave,Shadow on the Sun,5.72428333333
108,Audioslave,Audioslave,I am the Highway,5.58236666667
109,Audioslave,Audioslave,Exploder,3.43421666667
110,Audioslave,Audioslave,Hypnotize,3.4438
111,Audioslave,Audioslave,Bring'em Back Alive,5.49223333333
112,Audioslave,Audioslave,Light My Way,5.05991666667
113,Audioslave,Audioslave,Getaway Car,4.9933
114,Audioslave,Audioslave,The Last Remaining Light,5.29153333333
115,Audioslave,Out Of Exile,Your Time Has Come,4.25881666667
116,Audioslave,Out Of Exile,Out Of Exile,4.85485
117,Audioslave,Out Of Exile,Be Yourself,4.65806666667
118,Audioslave,Out Of Exile,Doesn't Remind Me,4.26448333333
119,Audioslave,Out Of Exile,Drown Me Slowly,3.89485
120,Audioslave,Out Of Exile,Heaven's Dead,4.61146666667
121,Audioslave,Out Of Exile,The Worm,3.9619
122,Audioslave,Out Of Exile,Man Or Animal,3.88658333333
123,Audioslave,Out Of Exile,Yesterday To Tomorrow,4.56271666667
124,Audioslave,Out Of Exile,Dandelion,4.63541666667
125,Audioslave,Out Of Exile,#1 Zero,4.98503333333
126,Audioslave,Out Of Exile,The Curse,5.1631
127,Audioslave,Revelations,Revelations,4.20626666667
128,Audioslave,Revelations,One and the Same,3.62886666667
129,Audioslave,Revelations,Sound of a Gun,4.3359
130,Audioslave,Revelations,Until We Fall,3.84596666667
131,Audioslave,Revelations,Original Fire,3.6486
132,Audioslave,Revelations,Broken City,3.8061
133,Audioslave,Revelations,Somedays,3.56385
134,Audioslave,Revelations,Shape of Things to Come,4.57661666667
135,Audioslave,Revelations,Jewel of the Summertime,3.88736666667
136,Audioslave,Revelations,Wide Awake,4.43846666667
137,Audioslave,Revelations,Nothing Left to Say But Goodbye,3.55068333333
138,Audioslave,Revelations,Moth,4.96748333333
139,Audioslave,Revelations,Show Me How to Live (Live at the Quart Festival),5.0329
140,Audioslave,Revelations,"Band Members Discuss Tracks from ""Revelations""",4.9049
141,BackBeat,BackBeat Soundtrack,Money,2.45985
142,BackBeat,BackBeat Soundtrack,Long Tall Sally,1.77326666667
143,BackBeat,BackBeat Soundtrack,Bad Boy,1.9348
144,BackBeat,BackBeat Soundtrack,Twist And Shout,2.68538333333
145,BackBeat,BackBeat Soundtrack,Please Mr. Postman,2.29398333333
146,BackBeat,BackBeat Soundtrack,C'Mon Everybody,2.33665
147,BackBeat,BackBeat Soundtrack,Rock 'N' Roll Music,2.36538333333
148,BackBeat,BackBeat Soundtrack,Slow Down,2.72108333333
149,BackBeat,BackBeat Soundtrack,Roadrunner,2.39325
150,BackBeat,BackBeat Soundtrack,Carol,2.39716666667
151,BackBeat,BackBeat Soundtrack,Good Golly Miss Molly,1.7711
152,BackBeat,BackBeat Soundtrack,20 Flight Rock,1.79678333333
153,Billy Cobham,The Best Of Billy Cobham,Quadrant,4.36418333333
154,Billy Cobham,The Best Of Billy Cobham,Snoopy's search-Red baron,7.60118333333
155,Billy Cobham,The Best Of Billy Cobham,"Spanish moss-""A sound portrait""-Spanish moss",4.13473333333
156,Billy Cobham,The Best Of Billy Cobham,Moon germs,4.901
157,Billy Cobham,The Best Of Billy Cobham,Stratus,9.70143333333
158,Billy Cobham,The Best Of Billy Cobham,The pleasant pheasant,5.3011
159,Billy Cobham,The Best Of Billy Cobham,Solo-Panhandler,4.10251666667
160,Billy Cobham,The Best Of Billy Cobham,Do what cha wanna,4.56925
161,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Intro/ Low Down,5.39471666667
162,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],13 Years Of Grief,4.11645
163,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Stronger Than Death,5.01245
164,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],All For You,3.93055
165,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Super Terrorizer,5.32288333333
166,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Phoney Smile Fake Hellos,4.5601
167,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Lost My Better Half,4.73468333333
168,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Bored To Tears,4.12211666667
169,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],A.N.D.R.O.T.A.Z.,4.43776666667
170,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Born To Booze,4.70203333333
171,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],World Of Trouble,5.98595
172,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],No More Tears,9.25125
173,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],The Begining... At Last,6.09436666667
174,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],Heart Of Gold,3.24788333333
175,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],Snowblind,7.00036666667
176,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],Like A Bird,4.60886666667
177,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],Blood In The Wall,4.73946666667
178,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],The Beginning...At Last,4.53266666667
179,Black Sabbath,Black Sabbath,Black Sabbath,6.36776666667
180,Black Sabbath,Black Sabbath,The Wizard,4.41381666667
181,Black Sabbath,Black Sabbath,Behind The Wall Of Sleep,3.62621666667
182,Black Sabbath,Black Sabbath,N.I.B.,6.14616666667
183,Black Sabbath,Black Sabbath,Evil Woman,3.4155
184,Black Sabbath,Black Sabbath,Sleeping Village,10.74285
185,Black Sabbath,Black Sabbath,Warning,3.53436666667
186,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Wheels Of Confusion / The Straightener,8.24206666667
187,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Tomorrow's Dream,3.20826666667
188,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Changes,4.77125
189,Black Sabbath,Black Sabbath Vol. 4 (Remaster),FX,1.71928333333
190,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Supernaut,4.76298333333
191,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Snowblind,5.52793333333
192,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Cornucopia,3.91356666667
193,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Laguna Sunrise,2.88478333333
194,Black Sabbath,Black Sabbath Vol. 4 (Remaster),St. Vitus Dance,2.49425
195,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Under The Sun/Every Day Comes and Goes,5.84096666667
196,Body Count,Body Count,Smoked Pork,0.788883333333
197,Body Count,Body Count,Body Count's In The House,3.40418333333
198,Body Count,Body Count,Now Sports,0.0814
199,Body Count,Body Count,Body Count,5.29893333333
200,Body Count,Body Count,A Statistic,0.106216666667
201,Body Count,Body Count,Bowels Of The Devil,3.72026666667
202,Body Count,Body Count,The Real Problem,0.194166666667
203,Body Count,Body Count,KKK Bitch,2.88346666667
204,Body Count,Body Count,D Note,1.59563333333
205,Body Count,Body Count,Voodoo,5.01201666667
206,Body Count,Body Count,The Winner Loses,6.53756666667
207,Body Count,Body Count,There Goes The Neighborhood,5.83618333333
208,Body Count,Body Count,Oprah,0.110583333333
209,Body Count,Body Count,Evil Dick,3.98366666667
210,Body Count,Body Count,Body Count Anthem,2.77376666667
211,Body Count,Body Count,Momma's Gotta Die Tonight,6.19231666667
212,Body Count,Body Count,Freedom Of Speech,4.68723333333
213,Bruce Dickinson,Chemical Wedding,King In Crimson,4.71945
214,Bruce Dickinson,Chemical Wedding,Chemical Wedding,4.10295
215,Bruce Dickinson,Chemical Wedding,The Tower,4.75428333333
216,Bruce Dickinson,Chemical Wedding,Killing Floor,4.49261666667
217,Bruce Dickinson,Chemical Wedding,Book Of Thel,8.23988333333
218,Bruce Dickinson,Chemical Wedding,Gates Of Urizen,4.42251666667
219,Bruce Dickinson,Chemical Wedding,Jerusalem,6.7065
220,Bruce Dickinson,Chemical Wedding,Trupets Of Jericho,5.98551666667
221,Bruce Dickinson,Chemical Wedding,Machine Men,5.69425
222,Bruce Dickinson,Chemical Wedding,The Alchemist,8.49021666667
223,Bruce Dickinson,Chemical Wedding,Realword,3.95885
224,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,First Time I Met The Blues,2.34056666667
225,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Let Me Love You Baby,2.9231
226,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Stone Crazy,7.22328333333
227,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Pretty Baby,3.96103333333
228,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,When My Left Eye Jumps,3.92185
229,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Leave My Girl Alone,3.41201666667
230,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,She Suits Me To A Tee,2.28005
231,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Keep It To Myself (Aka Keep It To Yourself),2.76766666667
232,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,My Time After Awhile,3.04151666667
233,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Too Many Ways (Alternate),2.25088333333
234,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Talkin' 'Bout Women Obviously,9.82551666667
235,Caetano Veloso,Prenda Minha,Jorge Da Capadócia,2.95661666667
236,Caetano Veloso,Prenda Minha,Prenda Minha,1.65615
237,Caetano Veloso,Prenda Minha,Meditação,2.47988333333
238,Caetano Veloso,Prenda Minha,Terra,8.04048333333
239,Caetano Veloso,Prenda Minha,Eclipse Oculto,3.69893333333
240,Caetano Veloso,Prenda Minha,"Texto ""Verdade Tropical""",1.40146666667
241,Caetano Veloso,Prenda Minha,Bem Devagar,2.21953333333
242,Caetano Veloso,Prenda Minha,Drão,2.6044
243,Caetano Veloso,Prenda Minha,Saudosismo,2.40543333333
244,Caetano Veloso,Prenda Minha,Carolina,3.0302
245,Caetano Veloso,Prenda Minha,Sozinho,3.17648333333
246,Caetano Veloso,Prenda Minha,Esse Cara,3.71851666667
247,Caetano Veloso,Prenda Minha,Mel,4.91275
248,Caetano Veloso,Prenda Minha,Linha Do Equador,4.98895
249,Caetano Veloso,Prenda Minha,Odara,2.3545
250,Caetano Veloso,Prenda Minha,A Luz De Tieta,4.1957
251,Caetano Veloso,Prenda Minha,Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,5.12086666667
252,Caetano Veloso,Prenda Minha,Vida Boa,4.6955
253,Caetano Veloso,Sozinho Remix Ao Vivo,Sozinho (Hitmakers Classic Mix),7.27726666667
254,Caetano Veloso,Sozinho Remix Ao Vivo,Sozinho (Hitmakers Classic Radio Edit),3.25006666667
255,Caetano Veloso,Sozinho Remix Ao Vivo,Sozinho (Caêdrum 'n' Bass),5.46785
256,Chico Buarque,Minha Historia,Carolina,2.7176
257,Chico Buarque,Minha Historia,Essa Moça Ta Diferente,2.78725
258,Chico Buarque,Minha Historia,Vai Passar,6.16271666667
259,Chico Buarque,Minha Historia,Samba De Orly,2.70715
260,Chico Buarque,Minha Historia,"Bye, Bye Brasil",4.72336666667
261,Chico Buarque,Minha Historia,Atras Da Porta,3.16125
262,Chico Buarque,Minha Historia,Tatuagem,2.86866666667
263,Chico Buarque,Minha Historia,O Que Será (À Flor Da Terra),2.78813333333
264,Chico Buarque,Minha Historia,Morena De Angola,3.11335
265,Chico Buarque,Minha Historia,Apesar De Você,3.90835
266,Chico Buarque,Minha Historia,A Banda,2.20821666667
267,Chico Buarque,Minha Historia,Minha Historia,3.0376
268,Chico Buarque,Minha Historia,Com Açúcar E Com Afeto,2.9231
269,Chico Buarque,Minha Historia,Brejo Da Cruz,3.56831666667
270,Chico Buarque,Minha Historia,Meu Caro Amigo,4.33761666667
271,Chico Buarque,Minha Historia,Geni E O Zepelim,5.29283333333
272,Chico Buarque,Minha Historia,Trocando Em Miúdos,2.82861666667
273,Chico Buarque,Minha Historia,Vai Trabalhar Vagabundo,2.31923333333
274,Chico Buarque,Minha Historia,Gota D'água,2.55346666667
275,Chico Buarque,Minha Historia,Construção / Deus Lhe Pague,6.38431666667
276,Chico Buarque,Minha Historia,Meia-Lua Inteira,3.70155
277,Chico Buarque,Minha Historia,Voce e Linda,4.04896666667
278,Chico Buarque,Minha Historia,Um Indio,3.26573333333
279,Chico Buarque,Minha Historia,Podres Poderes,4.32935
280,Chico Buarque,Minha Historia,Voce Nao Entende Nada - Cotidiano,7.03303333333
281,Chico Buarque,Minha Historia,O Estrangeiro,6.245
282,Chico Buarque,Minha Historia,Menino Do Rio,2.46116666667
283,Chico Buarque,Minha Historia,Qualquer Coisa,3.2235
284,Chico Buarque,Minha Historia,Sampa,3.08418333333
285,Chico Buarque,Minha Historia,Queixa,4.9946
286,Chico Buarque,Minha Historia,O Leaozinho,3.0733
287,Chico Buarque,Minha Historia,Fora Da Ordem,5.90018333333
288,Chico Buarque,Minha Historia,Terra,6.68865
289,Chico Buarque,Minha Historia,"Alegria, Alegria",2.82035
290,Chico Science & Nação Zumbi,Afrociberdelia,Mateus Enter,0.552483333333
291,Chico Science & Nação Zumbi,Afrociberdelia,O Cidadão Do Mundo,3.34888333333
292,Chico Science & Nação Zumbi,Afrociberdelia,Etnia,2.54258333333
293,Chico Science & Nação Zumbi,Afrociberdelia,Quilombo Groove [Instrumental],2.53038333333
294,Chico Science & Nação Zumbi,Afrociberdelia,Macô,4.16
295,Chico Science & Nação Zumbi,Afrociberdelia,Um Passeio No Mundo Livre,4.00151666667
296,Chico Science & Nação Zumbi,Afrociberdelia,Samba Do Lado,3.78861666667
297,Chico Science & Nação Zumbi,Afrociberdelia,Maracatu Atômico,4.73773333333
298,Chico Science & Nação Zumbi,Afrociberdelia,O Encontro De Isaac Asimov Com Santos Dumont No Céu,1.6518
299,Chico Science & Nação Zumbi,Afrociberdelia,Corpo De Lama,3.87786666667
300,Chico Science & Nação Zumbi,Afrociberdelia,Sobremesa,4.00151666667
301,Chico Science & Nação Zumbi,Afrociberdelia,Manguetown,3.24266666667
302,Chico Science & Nação Zumbi,Afrociberdelia,Um Satélite Na Cabeça,2.11025
303,Chico Science & Nação Zumbi,Afrociberdelia,Baião Ambiental [Instrumental],2.54431666667
304,Chico Science & Nação Zumbi,Afrociberdelia,Sangue De Bairro,2.20385
305,Chico Science & Nação Zumbi,Afrociberdelia,Enquanto O Mundo Explode,1.4794
306,Chico Science & Nação Zumbi,Afrociberdelia,Interlude Zumbi,1.19378333333
307,Chico Science & Nação Zumbi,Afrociberdelia,Criança De Domingo,3.47036666667
308,Chico Science & Nação Zumbi,Afrociberdelia,Amor De Muito,2.92221666667
309,Chico Science & Nação Zumbi,Afrociberdelia,Samidarish [Instrumental],4.54051666667
310,Chico Science & Nação Zumbi,Afrociberdelia,Maracatu Atômico [Atomic Version],4.5514
311,Chico Science & Nação Zumbi,Afrociberdelia,Maracatu Atômico [Ragga Mix],3.50258333333
312,Chico Science & Nação Zumbi,Afrociberdelia,Maracatu Atômico [Trip Hop],3.69153333333
313,Chico Science & Nação Zumbi,Da Lama Ao Caos,Banditismo Por Uma Questa,5.11825
314,Chico Science & Nação Zumbi,Da Lama Ao Caos,Banditismo Por Uma Questa,4.06073333333
315,Chico Science & Nação Zumbi,Da Lama Ao Caos,Rios Pontes & Overdrives,4.77866666667
316,Chico Science & Nação Zumbi,Da Lama Ao Caos,Cidade,3.60576666667
317,Chico Science & Nação Zumbi,Da Lama Ao Caos,Praiera,3.06066666667
318,Chico Science & Nação Zumbi,Da Lama Ao Caos,Samba Makossa,4.53093333333
319,Chico Science & Nação Zumbi,Da Lama Ao Caos,Da Lama Ao Caos,4.19265
320,Chico Science & Nação Zumbi,Da Lama Ao Caos,Maracatu De Tiro Certeiro,1.48113333333
321,Chico Science & Nação Zumbi,Da Lama Ao Caos,Salustiano Song,3.59008333333
322,Chico Science & Nação Zumbi,Da Lama Ao Caos,Antene Se,4.13953333333
323,Chico Science & Nação Zumbi,Da Lama Ao Caos,Risoflora,1.75976666667
324,Chico Science & Nação Zumbi,Da Lama Ao Caos,Lixo Do Mangue,3.22088333333
325,Chico Science & Nação Zumbi,Da Lama Ao Caos,Computadores Fazem Arte,6.73871666667
326,Cidade Negra,Acústico MTV [Live],Girassol,4.16346666667
327,Cidade Negra,Acústico MTV [Live],A Sombra Da Maldade,3.8487
328,Cidade Negra,Acústico MTV [Live],Johnny B. Goode,4.24358333333
329,Cidade Negra,Acústico MTV [Live],Soldado Da Paz,3.237
330,Cidade Negra,Acústico MTV [Live],Firmamento,3.70241666667
331,Cidade Negra,Acústico MTV [Live],Extra,5.07253333333
332,Cidade Negra,Acústico MTV [Live],O Erê,3.9397
333,Cidade Negra,Acústico MTV [Live],Podes Crer,3.87133333333
334,Cidade Negra,Acústico MTV [Live],A Estrada,4.14736666667
335,Cidade Negra,Acústico MTV [Live],Berlim,3.45903333333
336,Cidade Negra,Acústico MTV [Live],Já Foi,3.6924
337,Cidade Negra,Acústico MTV [Live],Onde Você Mora?,4.2671
338,Cidade Negra,Acústico MTV [Live],Pensamento,2.88346666667
339,Cidade Negra,Acústico MTV [Live],Conciliação,4.29365
340,Cidade Negra,Acústico MTV [Live],Realidade Virtual,3.25398333333
341,Cidade Negra,Acústico MTV [Live],Mensagem,3.75553333333
342,Cidade Negra,Acústico MTV [Live],A Cor Do Sol,3.85653333333
343,Cidade Negra,Cidade Negra - Hits,Onde Você Mora?,4.97326666667
344,Cidade Negra,Cidade Negra - Hits,O Erê,3.44903333333
345,Cidade Negra,Cidade Negra - Hits,A Sombra Da Maldade,4.75385
346,Cidade Negra,Cidade Negra - Hits,A Estrada,4.7029
347,Cidade Negra,Cidade Negra - Hits,Falar A Verdade,4.0825
348,Cidade Negra,Cidade Negra - Hits,Firmamento,3.75813333333
349,Cidade Negra,Cidade Negra - Hits,Pensamento,3.20651666667
350,Cidade Negra,Cidade Negra - Hits,Realidade Virtual,4.005
351,Cidade Negra,Cidade Negra - Hits,Doutor,2.96925
352,Cidade Negra,Cidade Negra - Hits,Na Frente Da TV,4.82916666667
353,Cidade Negra,Cidade Negra - Hits,Downtown,3.99541666667
354,Cidade Negra,Cidade Negra - Hits,Sábado A Noite,4.45605
355,Cidade Negra,Cidade Negra - Hits,A Cor Do Sol,4.55051666667
356,Cidade Negra,Cidade Negra - Hits,Eu Também Quero Beijar,3.51911666667
357,Cláudio Zoli,Na Pista,Noite Do Prazer,5.18921666667
358,Cláudio Zoli,Na Pista,À Francesa,4.07553333333
359,Cláudio Zoli,Na Pista,Cada Um Cada Um (A Namoradeira),4.22486666667
360,Cláudio Zoli,Na Pista,Linha Do Equador,4.07858333333
361,Cláudio Zoli,Na Pista,Amor Demais,4.234
362,Cláudio Zoli,Na Pista,Férias,4.40336666667
363,Cláudio Zoli,Na Pista,Gostava Tanto De Você,3.84086666667
364,Cláudio Zoli,Na Pista,Flor Do Futuro,4.5958
365,Cláudio Zoli,Na Pista,Felicidade Urgente,4.44341666667
366,Cláudio Zoli,Na Pista,Livre Pra Viver,3.57658333333
367,Various Artists,Axé Bahia 2001,"Dig-Dig, Lambe-Lambe (Ao Vivo)",3.42465
368,Various Artists,Axé Bahia 2001,Pererê,3.31101666667
369,Various Artists,Axé Bahia 2001,TriboTchan,3.23656666667
370,Various Artists,Axé Bahia 2001,"Tapa Aqui, Descobre Ali",3.14383333333
371,Various Artists,Axé Bahia 2001,Daniela,3.84651666667
372,Various Artists,Axé Bahia 2001,Bate Lata,3.44555
373,Various Artists,Axé Bahia 2001,Garotas do Brasil,3.50258333333
374,Various Artists,Axé Bahia 2001,Levada do Amor (Ailoviu),3.16821666667
375,Various Artists,Axé Bahia 2001,Lavadeira,3.57093333333
376,Various Artists,Axé Bahia 2001,Reboladeira,3.50998333333
377,Various Artists,Axé Bahia 2001,É que Nessa Encarnação Eu Nasci Manga,3.27531666667
378,Various Artists,Axé Bahia 2001,Reggae Tchan,3.44423333333
379,Various Artists,Axé Bahia 2001,My Love,3.39155
